claim_id,claim_date,policy_type,region,claim_amount,approved_amount,days_to_close,adjuster,suspected_fraud,customer_satisfaction
CLM-000001,2025-08-14,auto,west,634.62,618.31,7,austin,0,2.9
CLM-000002,2025-08-25,auto,north,636.15,356.92,16,blake,0,3.4
CLM-000003,2025-03-29,auto,west,9487.65,6023.32,17,casey,0,3.8
CLM-000004,2025-10-27,auto,west,648.53,426.21,27,ellis,0,4.4
CLM-000005,2025-12-14,travel,west,5862.38,4841.79,3,ellis,0,5
CLM-000006,2025-05-01,auto,south,10365.42,7959.61,8,blake,0,4.7
CLM-000007,2026-01-30,auto,east,5620.34,4682.54,35,drew,0,3.1
CLM-000008,2025-03-31,travel,west,153.17,95.31,1,casey,0,5
CLM-000009,2025-05-01,health,north,2238.67,1963.6,24,ellis,0,3.2
CLM-000010,2025-04-29,home,north,567.18,439.47,21,ellis,0,4.9
CLM-000011,2025-06-27,travel,south,1778.0,1727.46,22,austin,0,4.4
CLM-000012,2025-04-08,travel,west,2326.06,1031.35,24,casey,1,4.0
CLM-000013,2025-09-12,auto,west,1461.9,1299.56,41,casey,0,4.3
CLM-000014,2025-02-19,health,south,355.57,288.27,14,casey,0,4.2
CLM-000015,2025-06-10,health,east,1234.41,801.6,21,drew,0,4.9
CLM-000016,2025-01-04,home,south,1507.39,1107.59,9,ellis,0,4.9
CLM-000017,2025-10-24,home,west,3325.08,1851.43,7,austin,0,4.5
CLM-000018,2025-02-15,travel,west,1749.3,1372.51,31,ellis,0,5
CLM-000019,2025-09-05,health,east,1462.99,1282.05,21,ellis,0,3.0
CLM-000020,2025-07-16,travel,south,2522.83,2192.74,39,casey,0,4.0
CLM-000021,2026-02-22,health,south,374.57,237.97,14,casey,0,
CLM-000022,2025-12-06,travel,west,1299.09,678.48,14,casey,0,4.3
CLM-000023,2026-01-13,auto,east,463.69,245.45,11,austin,0,4.8
CLM-000024,2025-08-27,health,north,4006.18,3874.28,16,blake,0,5
CLM-000025,2025-11-11,travel,south,876.71,580.31,33,drew,0,4.1
CLM-000026,2025-05-02,health,west,4347.13,2311.08,10,austin,0,4.5
CLM-000027,2025-01-31,health,west,1081.79,805.85,6,blake,0,5
CLM-000028,2025-02-24,health,north,506.37,442.83,1,austin,0,3.9
CLM-000029,2025-05-05,travel,south,493.17,336.19,18,drew,0,4.3
CLM-000030,2025-03-26,travel,east,219.09,184.17,31,drew,0,4.6
CLM-000031,2025-04-21,health,south,13294.7,12657.37,15,blake,0,
CLM-000032,2025-11-07,auto,east,440.58,265.49,22,austin,0,2.9
CLM-000033,2025-10-05,health,north,2217.29,1209.82,7,austin,0,5
CLM-000034,2025-11-07,auto,east,9746.84,4025.83,54,blake,1,4.5
CLM-000035,2025-10-27,auto,east,1476.61,1009.7,18,blake,0,4.3
CLM-000036,2025-05-23,travel,east,3556.81,2396.51,2,drew,0,3.6
CLM-000037,2025-10-22,auto,north,2421.71,1559.35,3,ellis,0,3.3
CLM-000038,2025-02-06,travel,east,1715.83,1312.22,16,drew,0,4.7
CLM-000039,2025-09-29,home,west,873.82,782.75,21,ellis,0,4.1
CLM-000040,2025-06-17,auto,east,2119.77,1652.97,30,austin,0,5
CLM-000041,2025-06-01,auto,south,2114.21,1614.94,29,blake,0,3.9
CLM-000042,2025-06-06,travel,east,1137.28,870.51,38,ellis,0,4.1
CLM-000043,2025-08-01,health,north,1016.16,903.73,11,drew,0,
CLM-000044,2025-02-23,auto,north,1522.12,1229.54,26,drew,0,5
CLM-000045,2025-09-04,health,north,3065.45,2657.89,20,austin,0,3.7
CLM-000046,2025-01-27,home,west,22289.25,14945.23,18,ellis,0,4.7
CLM-000047,2026-02-06,health,north,1844.63,1528.54,20,ellis,0,1.8
CLM-000048,2025-01-28,home,east,1177.44,1034.02,26,austin,0,4.1
CLM-000049,2025-09-09,auto,south,836.95,752.62,16,austin,0,4.6
CLM-000050,2025-03-15,auto,south,1042.42,784.83,17,austin,0,4.5
CLM-000051,2025-07-12,auto,west,460.16,388.09,23,casey,0,
CLM-000052,2025-01-30,travel,south,425.5,367.81,25,ellis,0,4.4
CLM-000053,2025-09-02,auto,east,1981.14,1356.92,26,drew,0,2.7
