date,region,channel,units,revenue,discount,return_rate
2026-01-05,east,online,120,45600.0,0.10,0.02
2026-01-07,west,offline,86,30100.0,0.05,0.03
2026-01-12,north,online,133,48800.0,0.15,0.02
2026-01-15,south,online,98,36200.0,0.20,0.04
2026-01-19,east,offline,77,26950.0,0.05,0.03
2026-02-02,west,online,150,57000.0,0.10,0.02
2026-02-08,north,offline,101,38380.0,0.05,0.03
2026-02-14,south,online,164,62290.0,0.25,0.05
2026-02-21,east,online,142,54670.0,0.15,0.02
2026-03-03,north,online,155,60450.0,0.10,0.02
2026-03-11,south,offline,92,34500.0,0.05,0.03
2026-03-18,west,online,171,66690.0,0.20,0.04
2026-03-25,east,online,168,65520.0,0.15,0.02
2026-04-02,north,online,180,70200.0,0.10,0.02
2026-04-09,south,online,157,60040.0,0.25,0.05
2026-04-16,west,offline,105,40425.0,0.05,0.03
2026-04-23,east,offline,88,31680.0,0.05,0.03
2026-05-05,north,online,193,76060.0,0.15,0.02
2026-05-13,south,online,175,67690.0,0.20,0.04
2026-05-21,west,online,185,72950.0,0.10,0.02
2026-06-02,east,online,201,79980.0,0.15,0.02
2026-06-10,north,offline,112,43120.0,0.05,0.03
2026-06-17,south,online,182,70980.0,0.25,0.05
2026-06-24,west,online,196,78400.0,0.10,0.02
2026-07-02,east,online,210,84840.0,0.15,0.02
2026-07-10,north,online,205,84050.0,0.10,0.02
2026-07-18,south,offline,120,46200.0,0.05,0.03
2026-07-25,west,online,215,86850.0,0.20,0.04
2026-08-02,east,offline,96,35520.0,0.05,0.03
2026-08-10,north,online,225,89100.0,0.15,0.02
